Ward,Accessibility Index,Time limit,Situation
5,2545.536778,60,After
6,2735.122574,60,After
7,3451.114088,60,After
8,192.6598,60,After
9,1022.419334,60,After
10,2192.101253,60,After
11,2213.201052,60,After
12,2882.663774,60,After
13,2772.711212,60,After
14,3130.169554,60,After
15,601.2842679,60,After
16,2070.734354,60,After
17,600.01587,60,After
18,1300.03265,60,After
19,939.7170122,60,After
20,1127.223419,60,After
21,2500.2166,60,After
22,3600.3359,60,After
23,3813.07362,60,After
24,2358.461808,60,After
25,2300.324603,60,After
26,3578.176144,60,After
27,3281.038785,60,After
28,3154.123149,60,After
29,3222.828108,60,After
30,2299.173741,60,After
31,3881.686782,60,After
32,3916.331049,60,After
33,1294.356675,60,After
34,3176.828354,60,After
35,5899.772164,60,After
36,3248.455528,60,After
37,5708.371754,60,After
38,3521.58404,60,After
39,1088.869326,60,After
40,3770.271544,60,After
41,3443.997582,60,After
42,6765.352612,60,After
43,9600.584989,60,After
44,9231.857054,60,After
45,14940.52082,60,After
46,10921.6463,60,After
47,8325.177149,60,After
48,5737.085887,60,After
49,13269.36889,60,After
50,2066.505406,60,After
51,4345.838766,60,After
52,5906.173162,60,After
53,4860.690247,60,After
54,536.983154,60,After
55,8789.721543,60,After
56,11904.23995,60,After
57,9724.983728,60,After
58,2473.399579,60,After
59,7663.551058,60,After
60,6691.801377,60,After
61,8510.407889,60,After
62,11632.36419,60,After
63,11189.77548,60,After
64,10818.84465,60,After
65,8051.895075,60,After
66,10363.31158,60,After
67,12314.80524,60,After
68,13947.63348,60,After
69,13646.51952,60,After
70,15253.93909,60,After
71,10737.83242,60,After
72,13841.84437,60,After
73,13132.49181,60,After
74,14365.07516,60,After
75,12749.13145,60,After
76,10752.65111,60,After
77,13647.69294,60,After
78,13339.95718,60,After
79,10903.7103,60,After
80,10964.17559,60,After
81,9567.949788,60,After
82,7013.645959,60,After
83,5990.475786,60,After
84,7188.537523,60,After
85,100.0265,60,After
86,7109.82376,60,After
87,6989.949601,60,After
88,2678.925289,60,After
89,748.068786,60,After
90,3582.63303,60,After
91,2801.66286,60,After
92,982.2872493,60,After
